## Microarray analysis of entry into quiescence (normalised data),,,,,,,,,,,,,,,,
## T: time after Nitrogen removal,,,,,,,,,,,,,,,,
## Expression ratio are normalised to time point zero and corrected for total RNA amount per cell ,,,,,,,,,,,,,,,,
Systematic.name,T0,T0.5,T1,T2,T3,T4,T6,T9,T12,T16,T20,T24,T48,T72,T96,T168
SPCC576.15c,1,1.0757532,0.81546324,0.47401065,0.32240465,0.22693247,0.16600253,0.1329697,0.11671864,0.11597379,0.104508616,0.12013024,0.07478689,0.06948386,0.05171582,0.05227838
SPAC5D6.10c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPBC405.02c,1,0.51669633,0.5025896,0.37067997,0.324001,0.19408533,0.23362307,0.19403554,0.18961146,0.18012363,0.2128371,0.20198862,0.23128004,0.18807597,0.22618239,0.2090169
SPAC1327.01c,0.99999994,0.8294638,0.7659923,0.46573082,0.44806293,0.27362922,0.3033665,0.25529802,0.24807921,0.21185172,0.2421399,0.21713133,0.1725381,0.18333368,0.1447337,0.14060856
SPAC823.13c,1,0.64767677,0.4705637,0.32563192,0.26634872,0.15776573,0.11292828,0.091544926,0.078684784,0.07029018,0.07690423,0.07642314,0.07475188,NA,0.09500823,NA
SPBC1861.06c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPBC365.05c,1,0.8631427,0.7367188,0.6488496,0.54283816,0.28912118,0.2843415,NA,0.1932969,0.17629652,0.21045238,0.20325208,0.2235854,0.21163481,0.19375195,0.1688141
SPBC14F5.05c,1,0.6310466,0.21540962,0.034630302,0.024300255,0.019308243,0.019795911,0.0163325,0.016784726,0.011671416,0.013485022,0.010470898,0.01,0.010016726,0.01,0.010036252
SPAC2E1P3.05c,1,1.4820353,1.5085043,0.8938739,1.1337283,0.6491855,0.37759444,NA,0.22909503,0.15059197,NA,0.09054706,0.04170452,0.027191197,0.027340485,0.016673757
SPBC32F12.12c,1,1.0708051,1.0482353,0.9009643,0.6643633,0.38300687,0.28197655,0.20872724,0.18213299,0.16557907,0.20739228,0.18007499,0.14360343,0.1332036,0.12851176,0.099681094
SPAC4H3.13,1,0.7116895,0.5024681,0.44580278,0.3320688,0.2025392,0.15752566,0.17782202,0.14250189,NA,0.16539088,0.13410217,0.15316077,0.16149981,0.12792513,0.10726909
SPBC19F8.06c,1,0.7744289,0.6045029,0.45503747,0.4900437,0.2887055,0.32044008,NA,0.25589237,0.33708614,0.39102665,0.4467909,0.7624661,0.6723795,0.6976032,0.6496089
